Date,Open,High,Low,Close,Volume
2016-01-04,97.664,100.31,97.095,100.29,66009606
2016-01-05,100.66,100.76,97.478,97.762,55392693
2016-01-06,95.717,97.439,95.058,95.848,70650826
2016-01-07,93.925,95.306,91.785,91.803,80498620
2016-01-08,93.802,94.334,92.1,92.289,73093232
2016-01-11,94.201,94.286,92.65,93.783,52256994
2016-01-12,95.707,95.839,94.079,95.145,49349144
2016-01-13,95.487,96.31,92.612,92.697,64363838
2016-01-14,93.239,95.642,91.128,94.726,64783064
2016-01-15,91.567,93.003,90.765,92.45,82281989
2016-01-19,93.669,93.899,90.899,92.002,55774793
2016-01-20,90.518,93.458,88.92,92.127,73162830
2016-01-21,92.385,93.164,90.366,91.66,48898976
2016-01-22,93.879,96.57,93.632,96.532,67553859
2016-01-25,96.629,96.638,94.433,94.649,52144691
2016-01-26,95.116,96.021,93.347,95.173,63670121
2016-01-27,91.413,91.972,88.842,88.92,137747587
2016-01-28,89.27,89.966,87.939,89.556,57879004
2016-01-29,90.222,92.65,89.803,92.65,64736866
2016-02-01,91.822,92.051,90.805,91.785,40403266
2016-02-02,90.824,91.413,89.738,89.929,37126345
2016-02-03,90.424,92.174,89.546,91.707,46699298
2016-02-04,91.736,93.144,91.096,92.444,47471617
2016-02-05,92.369,92.751,89.661,89.975,45099251
2016-02-08,89.124,91.585,89.037,90.924,55087819
2016-02-09,90.234,91.814,89.891,90.904,43856250
2016-02-10,91.795,92.205,90.053,90.216,43001980
2016-02-11,89.755,90.647,88.607,89.671,48021051
2016-02-12,90.139,90.436,89.009,89.948,41064167
2016-02-16,90.933,92.684,90.539,92.483,47518475
2016-02-17,92.513,93.985,92.013,93.901,44302625
2016-02-18,94.589,94.637,91.957,92.12,38722954
2016-02-19,91.871,92.597,91.678,91.91,34055969
2016-02-22,92.167,92.733,91.795,92.713,34597078
2016-02-23,92.254,92.35,90.484,90.618,31057594
2016-02-24,89.938,92.235,89.305,91.965,36406750
2016-02-25,91.919,92.597,91.155,92.597,25809597
